study_id,year,location_year_name,cluster_id,mda,pcr_n_pos,pcr_n_tested,pcr_prev,pcr_n_pos_1to5y,pcr_n_tested_1to5y,pcr_prev_1to5y,tf_n_pos,tf_n_tested,tf_prev,tf_n_pos_1to5y,tf_n_tested_1to5y,tf_prev_1to5y,ti_n_pos,ti_n_tested,ti_prev,ti_n_pos_1to5y,ti_n_tested_1to5y,ti_prev_1to5y,pgp3_n_pos,pgp3_n_tested,pgp3_mean,pgp3_log10mean,pgp3_log10geomean,pgp3_prev,pgp3_n_pos_1to5y,pgp3_n_tested_1to5y,pgp3_mean_1to5y,pgp3_log10mean_1to5y,pgp3_log10geomean_1to5y,pgp3_prev_1to5y,pgp3_minobs,pgp3_minobs_lab
TAITU2018,2018,"Wag Hemra, Ethiopia (TAITU) 2018",TAITU2018-cluster-44,0,0,14,0,0,14,0,12,15,80,12,15,80,2,15,13.333333333333334,2,15,13.333333333333334,3,13,5218,1.6502613823783634,44.695251189660766,23.076923076923077,3,13,5218,1.6502613823783634,44.695251189660766,23.076923076923077,FALSE,Pgp3 obs <15
TAITU2018,2018,"Wag Hemra, Ethiopia (TAITU) 2018",TAITU2018-cluster-45,1,3,16,18.75,3,16,18.75,6,18,33.33333333333333,6,18,33.33333333333333,3,18,16.666666666666664,3,18,16.666666666666664,6,16,6103.625,1.8843728153244859,76.62541070749988,37.5,6,16,6103.625,1.8843728153244859,76.62541070749988,37.5,TRUE,Pgp3 obs ≥15
TAITU2018,2018,"Wag Hemra, Ethiopia (TAITU) 2018",TAITU2018-cluster-46,0,19,33,57.57575757575758,19,33,57.57575757575758,30,37,81.08108108108108,30,37,81.08108108108108,16,37,43.24324324324324,16,37,43.24324324324324,20,32,17150.59375,3.0740799025556025,1185.9869288570158,62.5,20,32,17150.59375,3.0740799025556025,1185.9869288570158,62.5,TRUE,Pgp3 obs ≥15
TAITU2018,2018,"Wag Hemra, Ethiopia (TAITU) 2018",TAITU2018-cluster-47,1,5,30,16.666666666666664,5,30,16.666666666666664,20,36,55.55555555555556,20,36,55.55555555555556,8,36,22.22222222222222,8,36,22.22222222222222,15,30,8455.2,2.6633475774081017,460.62507658264326,50,15,30,8455.2,2.6633475774081017,460.62507658264326,50,TRUE,Pgp3 obs ≥15
TAITU2018,2018,"Wag Hemra, Ethiopia (TAITU) 2018",TAITU2018-cluster-48,0,0,17,0,0,17,0,8,17,47.05882352941176,8,17,47.05882352941176,4,17,23.52941176470588,4,17,23.52941176470588,1,17,1461.0588235294117,1.1931106661959108,15.59949956032985,5.88235294117647,1,17,1461.0588235294117,1.1931106661959108,15.59949956032985,5.88235294117647,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-1,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,32,74.875,0.38006960227318765,2.399217399161669,3.125,0,15,22.266666666666666,0.45615397485645076,2.8586038537429075,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-2,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,38,32.6578947368421,0.6732191583997099,4.712150560700004,0,0,18,63.111111111111114,0.7348485752643569,5.430609503192174,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-3,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,25,5.12,0.5371905625281757,3.4450105999672656,0,0,7,8,0.7132093068297205,5.166653144658166,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-4,0,0,0,NA,0,0,NA,0,0,14.141686,0,0,NA,0,0,0,0,0,NA,0,27,2.5925925925925926,0.15095158956302976,1.4156359714226832,0,0,12,0.3333333333333333,0.10034333188799373,1.2599210498948732,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-5,0,0,0,NA,0,0,NA,0,0,3.7255851,0,0,NA,0,0,0,0,0,NA,1,39,177.4102564102564,0.7362457556447224,5.4481085954150705,2.564102564102564,0,19,145.10526315789474,0.8208765361607469,6.620282715807255,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-6,0,0,0,NA,0,0,NA,0,0,5.4615263,0,0,NA,0,0,0,0,0,NA,1,40,67.175,0.7939010617792635,6.221585328031635,2.5,0,26,15.076923076923077,0.8013461650090027,6.329161316142662,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-7,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,35,64.77142857142857,0.2789451389310471,1.9008381465487814,2.857142857142857,0,21,2.142857142857143,0.23141155137663535,1.7037722928931511,0,TRUE,Pgp3 obs ≥15
